Company Name,Country,Email Address,Notes
Delta Construction Equipment,Ireland,kevin@deltaconstructionequipment.com,Construction equipment dealer Donegal
Delta Construction Equipment,Ireland,martin@deltaconstructionequipment.com,Construction equipment dealer Meath
GH Cranes & Components France,France,ghfrance@ghcranes.com,GH Cranes French operations
BMS A/S,Denmark,mail@bms.dk,One of world's largest crane suppliers
Give Sværgods,Denmark,info@svaergods.com,Crane work in Denmark Norway and Sweden
Almovi,Portugal,almovi@almovi.pt,Specializes in Potain and Liebherr tower cranes
RUBAG RentalPark,Switzerland,miete@rubag.ch,Construction machinery rental 8 Swiss locations
Ascendum Építőgépek Hungária Kft.,Hungary,info@ascendum.hu,Volvo Construction Equipment dealer
Ascendum Építőgépek Hungária Kft.,Hungary,hasznalt@ascendum.hu,Ascendum used equipment sales
KPK Cranes,Slovakia,zeriavy@kpk.sk,Tower crane rental company
Cralif s.r.o.,Slovakia,info@cralif.sk,Tower crane rental company
Cralif s.r.o.,Slovakia,zeriavy@cralif.sk,Cralif technical support
Kranimex,Slovakia,kranimex@kranimex.sk,Liebherr tower crane sales and service
Multimarine Cranes Ltd,Cyprus,info@multimarine.com.cy,Mobile cranes 45t-350t crawler cranes
FL Crane & Deck Services Limited,Cyprus,info@flcrane.global,Crane and deck services
ScanBalt Crane,Estonia,info@scanbaltcrane.com,Crane rental company operating in Estonia Latvia Lithuania
ScanBalt Crane,Latvia,info@scanbaltcrane.com,Crane rental company operating in Estonia Latvia Lithuania
ScanBalt Crane,Lithuania,info@scanbaltcrane.com,Crane rental company operating in Estonia Latvia Lithuania
Dektorest OÜ,Estonia,info@dektorest.ee,Cranes from 30t to 130t capacity since 1999
Simple Solutions Europe Ltd,United Kingdom,enquiry@simplesolutions-europe.com,City tower cranes and self-erecting cranes 14t to 1250t
Zeppelin Belarus,Belarus,zeppelin@zeppelin.com.by,Powerscreen equipment dealer
Gomselmash,Belarus,utisop@gomselmash.by,Agricultural and construction equipment service
Street Crane,United Kingdom,website@streetcrane.co.uk,Crane manufacturer UK-based
